cost,eq_n,calc,u
5e-06,simulate,sum,0.00159062211464431
6.29462705897083e-06,simulate,sum,0.00177564236569972
7.92446596230557e-06,simulate,sum,0.00199095519918616
9.97631157484439e-06,simulate,sum,0.00223787339311128
1.25594321575479e-05,simulate,sum,0.00251813297201389
1.58113883008419e-05,simulate,sum,0.00283446332005397
1.99053585276748e-05,simulate,sum,0.00318707558862336
2.50593616813636e-05,simulate,sum,0.003580378404842
3.15478672240096e-05,simulate,sum,0.00402282579007785
3.97164117362141e-05,simulate,sum,0.00452070545372671
5e-05,simulate,sum,0.00508115384689416
6.29462705897083e-05,simulate,sum,0.00571227591877144
7.92446596230557e-05,simulate,sum,0.00642328742836125
9.97631157484439e-05,simulate,sum,0.00722468185541194
0.000125594321575479,simulate,sum,0.00812842568375147
0.000158113883008419,simulate,sum,0.00914837521841852
0.000199053585276748,simulate,sum,0.0102997842460683
0.000250593616813636,simulate,sum,0.0116007826459255
0.000315478672240097,simulate,sum,0.0130719741425291
0.000397164117362141,simulate,sum,0.014737081481953
5e-04,simulate,sum,0.0166234811499117
0.000629462705897084,simulate,sum,0.018762841457699
0.000792446596230557,simulate,sum,0.0211918854111556
0.00099763115748444,simulate,sum,0.0239533046505817
0.00125594321575479,simulate,sum,0.0270968544563777
0.00158113883008419,simulate,sum,0.0306806656817543
0.00199053585276749,simulate,sum,0.0347728136769095
0.00250593616813636,simulate,sum,0.03945318264847
0.00315478672240097,simulate,sum,0.0448156539614859
0.00397164117362141,simulate,sum,0.0509705874410338
0.005,simulate,sum,0.0580474307611888
0.00629462705897084,simulate,sum,0.0661969767421764
0.00792446596230557,simulate,sum,0.0755924014148502
0.00997631157484439,simulate,sum,0.0864276695285966
0.0125594321575479,simulate,sum,0.098911700013526
0.0158113883008419,simulate,sum,0.113256578544696
0.0199053585276749,simulate,sum,0.129658101735372
0.0250593616813636,simulate,sum,0.148266801564964
0.0315478672240097,simulate,sum,0.169150041620441
0.0397164117362141,simulate,sum,0.192249785986318
0.05,simulate,sum,0.217351335504595
0.0629462705897084,simulate,sum,0.244089513729983
0.0792446596230557,simulate,sum,0.272010999024218
0.0999999999999997,simulate,sum,0.30089783175096
5e-06,simulate,product,0.00159131609095168
6.29462705897083e-06,simulate,product,0.00177658438743848
7.92446596230557e-06,simulate,product,0.00199218962532242
9.97631157484439e-06,simulate,product,0.00223945726774656
1.25594321575479e-05,simulate,product,0.00252014352849704
1.58113883008419e-05,simulate,product,0.00283700347005422
1.99053585276748e-05,simulate,product,0.00319047443639963
2.50593616813636e-05,simulate,product,0.00358467118585045
3.15478672240096e-05,simulate,product,0.00402824954816095
3.97164117362141e-05,simulate,product,0.00452756107527037
5e-05,simulate,product,0.00508982351927831
6.29462705897083e-05,simulate,product,0.00572324557710184
7.92446596230557e-05,simulate,product,0.00643717561538828
9.97631157484439e-05,simulate,product,0.00724227691652159
0.000125594321575479,simulate,product,0.00815073379254934
0.000158113883008419,simulate,product,0.00917617225017373
0.000199053585276748,simulate,product,0.0103350909179861
0.000250593616813636,simulate,product,0.0116456754202713
0.000315478672240097,simulate,product,0.0131291235337251
0.000397164117362141,simulate,product,0.0148099301351363
5e-04,simulate,product,0.0167164787417948
0.000629462705897084,simulate,product,0.0188817558192205
0.000792446596230557,simulate,product,0.0213442164655368
0.00099763115748444,simulate,product,0.0241488379986224
0.00125594321575479,simulate,product,0.0273484054528227
0.00158113883008419,simulate,product,0.0310050858340292
0.00199053585276749,simulate,product,0.0351923599105779
0.00250593616813636,simulate,product,0.0399973960541832
0.00315478672240097,simulate,product,0.0455239610730422
0.00397164117362141,simulate,product,0.0518959447248162
0.005,simulate,product,0.0592614937412347
0.00629462705897084,simulate,product,0.0677975390348632
0.00792446596230557,simulate,product,0.0777141633200517
0.00997631157484439,simulate,product,0.0892580530841386
0.0125594321575479,simulate,product,0.10271402716689
0.0158113883008419,simulate,product,0.118404219434311
0.0199053585276749,simulate,product,0.136684575383672
0.0250593616813636,simulate,product,0.15793928486265
0.0315478672240097,simulate,product,0.182567581359711
0.0397164117362141,simulate,product,0.210986785011507
0.05,simulate,product,0.24365815487508
0.0629462705897084,simulate,product,0.281172270573233
0.0792446596230557,simulate,product,0.324587290241825
